type,id,attributes.title
genre,62e367a9-fbfb-3811-9098-e4c489412d23,Biografie
genre,8a0a54ca-393a-3208-8f55-d71184c2e1c1,Česká literatura
genre,52d7adf1-20e8-34cf-b1a7-e8c1fcc741b3,Dobrodružství
genre,82541b27-963b-3c6f-a3a6-757aa349c387,Drama
genre,be98a782-59fe-30e8-94ad-1ede5ce5cf53,Fantasy
genre,414be0af-8346-3c7e-bc17-b9c9359e2680,Historie
genre,b1595a02-69a2-3f56-b914-3101de58c134,Horor
genre,4fe8f213-cd83-3f65-ac31-3633876895b9,Klasika
genre,d4a6089b-1b5c-3004-b5d1-88bb116440e0,Krimi
genre,1991839f-4920-38ac-ae4e-2e991598bac3,Pohádka
