type,id,attributes.showType,attributes.showContent,hl,attributes.active,attributes.aired,attributes.podcast,attributes.priority,attributes.childFriendly,attributes.sortedBySeriesEpisodeNumber,attributes.description,attributes.shortDescription,attributes.asset.id,attributes.asset.url,attributes.asset.width,attributes.asset.height,attributes.asset.focal_point,attributes.asset.credit.author,attributes.asset.credit.source,attributes.asset.credit.license,attributes.asset.credit.description,attributes.asset.credit.origin_url,attributes.updated,relationships.stations.links.related,relationships.stations.data,relationships.serials.links.related,relationships.serials.data,relationships.episodes.links.related,relationships.episodes.meta.count,relationships.episodes.data,relationships.participants.links.related,relationships.participants.data
show,5af2e3df-7701-3e0d-8354-f613bf5151f8,show,True,"""Zůstaňte u svých přijímačů!""  Sto let rozhlasu v paměti národa",True,True,False,0,False,False,,"""Zůstaňte u svých přijímačů!""  Sto let rozhlasu v paměti národa",47ca0c0f-4927-3060-8b60-8a6d6d575f10,https://portal.rozhlas.cz/sites/default/files/images/9bad9ffc957f355801d02501d2032c24.jpg,4110,3090,"50,5",,Archivní a programové fondy Českého rozhlasu,,autobus.jpg,,2023-05-09T16:28:44+02:00,https://mujrozhlas.croapi.cz/shows/5af2e3df-7701-3e0d-8354-f613bf5151f8/stations,"[{'type': 'station', 'id': 'f1d1e3eb-866b-4f55-b104-df42e302c317'}]",https://mujrozhlas.croapi.cz/shows/5af2e3df-7701-3e0d-8354-f613bf5151f8/serials,[],https://mujrozhlas.croapi.cz/shows/5af2e3df-7701-3e0d-8354-f613bf5151f8/episodes,11,"[{'type': 'episode', 'id': '0f87ec02-d62e-4390-a8af-50dc1cf3a75c'}, {'type': 'episode', 'id': '1bcfa5bb-e81f-4fea-b169-f251e8e50597'}, {'type': 'episode', 'id': '307a5354-853d-45d1-a89f-966870a2da07'}, {'type': 'episode', 'id': '3d66a2e9-129a-47fe-bc55-e542aecac801'}, {'type': 'episode', 'id': '6416725c-1c19-45dc-bd56-bfaabbdac833'}, {'type': 'episode', 'id': '74f0c920-f6d6-486d-a158-2415424e7489'}, {'type': 'episode', 'id': '809b39d5-78f5-4ddb-9803-3c2023dfa7c4'}, {'type': 'episode', 'id': '8f124f5e-ea31-4ac7-98e5-30ebba3114e6'}, {'type': 'episode', 'id': '94121d1e-8a42-4ed5-94e0-c90bd6c683b4'}, {'type': 'episode', 'id': 'd0985f80-f54f-48cb-864f-2b51658cdbc9'}]",https://mujrozhlas.croapi.cz/shows/5af2e3df-7701-3e0d-8354-f613bf5151f8/participants,[]
show,8143bd60-9bc5-32f5-b0af-f8beb358491d,show,False,(Ne)vinný dotazník Radka Brzobohatého,True,False,False,0,False,False,"Přátelé vína mají pro svou „slabost“ většinou rčení, že ve víně je pravda. Pro setkávání Radka Brzobohatého s přáteli by se spíše hodilo jiné: Víno jazyk rozvazuje.","Přátelé vína mají pro svou „slabost“ většinou rčení, že ve víně je pravda. Pro setkávání Radka Brzobohatého s přáteli by se spíše hodilo jiné: Víno jazyk rozvazuje.",4ba86bcf-eae0-3ddf-902f-2d81066c4d5b,https://portal.rozhlas.cz/sites/default/files/images/afc5b397e5926e6ecdcec069ae5765d8.jpg,1800,1253,"50,5",,Profimeda,,Radoslav Brzobohatý,,2023-07-14T17:00:12+02:00,https://mujrozhlas.croapi.cz/shows/8143bd60-9bc5-32f5-b0af-f8beb358491d/stations,"[{'type': 'station', 'id': 'ebbbe99a-bf40-30b4-9e90-a9406b20e5a2'}]",https://mujrozhlas.croapi.cz/shows/8143bd60-9bc5-32f5-b0af-f8beb358491d/serials,[],https://mujrozhlas.croapi.cz/shows/8143bd60-9bc5-32f5-b0af-f8beb358491d/episodes,0,[],https://mujrozhlas.croapi.cz/shows/8143bd60-9bc5-32f5-b0af-f8beb358491d/participants,[]
show,d91f0e7c-8b1c-3707-a60d-6e4e5410c28f,show,True,(Ne)vinný dotazník Radka Brzobohatého,False,False,False,0,False,False,vysíláno do června 2008,vysíláno do června 2008,41ee8b7a-8897-3376-8ac2-936d3e0789a2,https://portal.rozhlas.cz/sites/default/files/images/02353943.jpeg,684,456,"50,5",Yvona Žertová,,,Radek Brzobohatý a Hana Gregorová,,2021-03-21T00:00:45+01:00,https://mujrozhlas.croapi.cz/shows/d91f0e7c-8b1c-3707-a60d-6e4e5410c28f/stations,"[{'type': 'station', 'id': '17821883-be2d-3880-b971-eceb794388fa'}]",https://mujrozhlas.croapi.cz/shows/d91f0e7c-8b1c-3707-a60d-6e4e5410c28f/serials,[],https://mujrozhlas.croapi.cz/shows/d91f0e7c-8b1c-3707-a60d-6e4e5410c28f/episodes,32,"[{'type': 'episode', 'id': '01d7ca99-97c5-37b6-8f99-5963d7c1b504'}, {'type': 'episode', 'id': '078dd8f9-d898-30b7-9fdf-e144c2047715'}, {'type': 'episode', 'id': '0b28084a-6d2a-35d5-bd35-3e7eb420dd0e'}, {'type': 'episode', 'id': '0e1600c4-6a78-31a5-a76a-6cf28edd2291'}, {'type': 'episode', 'id': '1986da6e-1d5f-3273-a5df-208966bab6e7'}, {'type': 'episode', 'id': '1b57ee65-50fd-3e9a-ae9c-b958566fee6d'}, {'type': 'episode', 'id': '1ba98712-f4f5-3ea4-8a3c-9c4957f7a2d4'}, {'type': 'episode', 'id': '209f7834-087a-3587-86ae-ef435f8fd6a1'}, {'type': 'episode', 'id': '3dfbdd2a-0d35-36da-a34c-18ff8cc36f87'}, {'type': 'episode', 'id': '4af97556-6d3c-368f-b3d5-1bc4da0322fc'}]",https://mujrozhlas.croapi.cz/shows/d91f0e7c-8b1c-3707-a60d-6e4e5410c28f/participants,[]
show,92fade97-7f7f-3a5a-be2a-9cd0ec4e97c4,show,True,#PijuPrameny,True,True,False,0,False,False,"Pro vodu, za kterou se mnozí vydávají tisíce kilometrů, místní nechtějí ujet i třeba jen pár zastávek autobusem. Infocentrum Karlovy Vary přichází s výzvou k jarní očistě a Český rozhlas Karlovy Vary je její mediálním partnerem. V našem vysílání se můžete těšit na různé soutěže, rozhovory i reportáže z průběhu programu #PijuPrameny.","Pro vodu, za kterou se mnozí vydávají tisíce kilometrů, místní nechtějí ujet i třeba jen pár zastávek autobusem. Infocentrum Karlovy Vary přichází s výzvou k jarní očistě.",dfa472a1-d0db-3a6e-bd2a-c1b60c061cb7,https://portal.rozhlas.cz/sites/default/files/images/fd9dfe36b33a67f965aa434a85ca1abb.JPG,2100,1391,"50,5",Libuše Ernestová,Český rozhlas,,Karlovy Vary (ilustrační foto),,2023-07-14T17:45:10+02:00,https://mujrozhlas.croapi.cz/shows/92fade97-7f7f-3a5a-be2a-9cd0ec4e97c4/stations,"[{'type': 'station', 'id': '663e7133-bb52-3477-8d7f-635e43371962'}]",https://mujrozhlas.croapi.cz/shows/92fade97-7f7f-3a5a-be2a-9cd0ec4e97c4/serials,[],https://mujrozhlas.croapi.cz/shows/92fade97-7f7f-3a5a-be2a-9cd0ec4e97c4/episodes,10,"[{'type': 'episode', 'id': '0562bdd2-eae1-3b8c-85b3-377426f61433'}, {'type': 'episode', 'id': '2ddabe2a-4d1d-3f43-9b81-35fd5a0b157d'}, {'type': 'episode', 'id': '3181a558-c31b-350a-a368-1e3af7f0745c'}, {'type': 'episode', 'id': '613fe60f-b199-30e9-81bd-fd1889cfcd69'}, {'type': 'episode', 'id': '79e0d077-e0d8-3792-aacf-ec2663c20360'}, {'type': 'episode', 'id': '81aebefc-a5a1-376b-a062-d63e3229d02a'}, {'type': 'episode', 'id': '9d3a1e4b-2ae4-362d-83e8-94b9d1fbea9a'}, {'type': 'episode', 'id': 'c3fea1a7-d103-3cd9-84e6-ef28cf3252dd'}, {'type': 'episode', 'id': 'd6703705-07dc-37dc-9cc6-66eb1f05e833'}, {'type': 'episode', 'id': 'ff9924bc-49d7-355e-907a-0ec53b7cdbee'}]",https://mujrozhlas.croapi.cz/shows/92fade97-7f7f-3a5a-be2a-9cd0ec4e97c4/participants,"[{'type': 'person', 'id': 'f887afa1-7cce-3ea9-b67c-09a1c2970848', 'meta': {'role': 'moderator'}}]"
show,c7f376fa-4fa5-36e1-a7dd-3fcc23b0f447,show,True,100 hitů republiky,True,False,False,0,False,False,Největší anketa populární hudby v dějinách Českého rozhlasu a zároveň encyklopedie naší populární hudby.,Největší anketa populární hudby v dějinách Českého rozhlasu a zároveň encyklopedie naší populární hudby.,0ffe3bb0-9be2-3059-836c-bcf6a0feffc1,https://portal.rozhlas.cz/sites/default/files/images/03994015.jpeg,2100,1400,"50,5",Český rozhlas,,,100 hitů republiky,,2021-03-21T00:00:31+01:00,https://mujrozhlas.croapi.cz/shows/c7f376fa-4fa5-36e1-a7dd-3fcc23b0f447/stations,"[{'type': 'station', 'id': '17821883-be2d-3880-b971-eceb794388fa'}]",https://mujrozhlas.croapi.cz/shows/c7f376fa-4fa5-36e1-a7dd-3fcc23b0f447/serials,[],https://mujrozhlas.croapi.cz/shows/c7f376fa-4fa5-36e1-a7dd-3fcc23b0f447/episodes,13,"[{'type': 'episode', 'id': '11941d9f-6c84-31f9-9bb8-71761864275f'}, {'type': 'episode', 'id': '14ebda6b-37ed-3fa4-a808-9e99de6c6492'}, {'type': 'episode', 'id': '24972cb1-8e24-35d9-8787-97e8d41c944c'}, {'type': 'episode', 'id': '5edc64c1-ea9d-301f-ba69-24f0393b5ee9'}, {'type': 'episode', 'id': '694c3435-2c6f-31d5-a5e5-e503f28b4465'}, {'type': 'episode', 'id': '7b32601f-003b-32da-ad51-e2dd604cbc79'}, {'type': 'episode', 'id': '9388ef75-1da1-3327-be69-16454c7f37ea'}, {'type': 'episode', 'id': '9b80a1f9-f426-36bd-b62d-eedea317bcd8'}, {'type': 'episode', 'id': 'ab2f0e0c-b4c0-39a7-a677-62a50ff8f30c'}, {'type': 'episode', 'id': 'b4757ba5-540a-3dae-be4d-89392e67c18b'}]",https://mujrozhlas.croapi.cz/shows/c7f376fa-4fa5-36e1-a7dd-3fcc23b0f447/participants,[]
show,8ba0fa70-92d0-3623-b9e1-f0083cb1c1a6,show,True,100 let české státnosti ve Středočeském kraji,True,False,False,6,False,False,Navštivte s námi atraktivní místa a připomeňte si zajímavé události ve středních Čechách od vzniku samostatného Československa až do současnosti.,Navštivte s námi atraktivní místa a připomeňte si zajímavé události ve středních Čechách od vzniku samostatného Československa až do současnosti.,863ed004-dc56-3d97-9dd9-a0cabff450de,https://portal.rozhlas.cz/sites/default/files/images/02658402.jpeg,1500,1000,"50,5",Václav Žmolík,Český rozhlas,,Jižní průčelí lánského zámku je orientováno směrem do rozlehlého parku,,2021-12-15T11:30:07+01:00,https://mujrozhlas.croapi.cz/shows/8ba0fa70-92d0-3623-b9e1-f0083cb1c1a6/stations,"[{'type': 'station', 'id': 'f8b5ee83-c786-3c67-8e37-4fdee1007147'}]",https://mujrozhlas.croapi.cz/shows/8ba0fa70-92d0-3623-b9e1-f0083cb1c1a6/serials,[],https://mujrozhlas.croapi.cz/shows/8ba0fa70-92d0-3623-b9e1-f0083cb1c1a6/episodes,9,"[{'type': 'episode', 'id': '55972a31-427f-3d94-9503-d2365831e03d'}, {'type': 'episode', 'id': '7242c14a-605b-36e7-8ec5-6f82717d22a2'}, {'type': 'episode', 'id': '78901f02-315b-39d8-887f-88eb8dc3f968'}, {'type': 'episode', 'id': '853827ee-0adc-3951-a6c5-e541f2574c17'}, {'type': 'episode', 'id': '9281bf9f-3bb4-37e2-98ac-1a236f207fa8'}, {'type': 'episode', 'id': 'b0da5969-0230-3faa-bdd8-35179f9cab9b'}, {'type': 'episode', 'id': 'c02d7d3e-5bc3-337e-b004-129791033094'}, {'type': 'episode', 'id': 'c1c186dc-7ef2-3e78-bbe2-3ddf07bb9ac6'}, {'type': 'episode', 'id': 'fcd951e5-f91a-3ed9-ace1-b537617add8a'}]",https://mujrozhlas.croapi.cz/shows/8ba0fa70-92d0-3623-b9e1-f0083cb1c1a6/participants,"[{'type': 'person', 'id': '34034bc6-7c6c-327e-95ce-595cd15c426f', 'meta': {'role': 'moderator'}}]"
show,c753885c-5aaa-3cb7-b437-9a2d94a2a552,show,True,100 let Ústí nad Labem,True,True,False,0,False,False,"Český rozhlas slaví 100. let, a to je jen začátek. Proto jsme si pro vás připravili seriál z Ústí nad Labem.","Český rozhlas slaví 100. let, a to je jen začátek. Proto jsme si pro vás připravili seriál z Ústí nad Labem.",8a220de5-a331-325c-9d22-1bcaa62d67b8,https://portal.rozhlas.cz/sites/default/files/images/c4c6e55262a04a5d61c07fab21e76930.jpg,2922,1948,"50,5",,Muzeum města Ústí nad Labem,,Stavba Masarykova zdymadla u hradu Střekov,,2023-07-14T17:45:10+02:00,https://mujrozhlas.croapi.cz/shows/c753885c-5aaa-3cb7-b437-9a2d94a2a552/stations,"[{'type': 'station', 'id': '5e94e06f-5435-3291-87c5-aeca8bc9c884'}]",https://mujrozhlas.croapi.cz/shows/c753885c-5aaa-3cb7-b437-9a2d94a2a552/serials,[],https://mujrozhlas.croapi.cz/shows/c753885c-5aaa-3cb7-b437-9a2d94a2a552/episodes,18,"[{'type': 'episode', 'id': '1770207b-becd-30ba-ae3f-b3bab8ed52c2'}, {'type': 'episode', 'id': '280595af-97a3-3b96-8443-b8e9a6534c7a'}, {'type': 'episode', 'id': '2f3a934b-e3b3-3c72-8485-4f4fb01a3b8f'}, {'type': 'episode', 'id': '30d4dfa2-543f-3c68-b6a4-c3b839bbe9f2'}, {'type': 'episode', 'id': '3d817160-0394-3f2b-8100-d12a47477d7f'}, {'type': 'episode', 'id': '3fb41450-c821-3c42-8804-4a3cdbaa2741'}, {'type': 'episode', 'id': '89ea6761-fd1a-3383-b599-f73a5b2b51b8'}, {'type': 'episode', 'id': '937d7ef7-3e0d-33b0-b045-b1c263c71cf0'}, {'type': 'episode', 'id': '96a21879-dd8a-30c0-8d95-b4957b095b24'}, {'type': 'episode', 'id': '9c59698c-eb70-3a59-8b60-1393cf8bfa1c'}]",https://mujrozhlas.croapi.cz/shows/c753885c-5aaa-3cb7-b437-9a2d94a2a552/participants,"[{'type': 'person', 'id': '9d06a78d-a91b-3713-bc44-8dc05f1c5e58', 'meta': {'role': 'moderator'}}]"
show,0b522f32-2ec6-3700-b14d-c1f757fb8cec,show,True,100 příběhů z protektorátu,True,False,True,0,False,False,Co všechno lidé slyšeli z rozhlasu v letech druhé světové války? Připomeneme si každodennost protektorátu i velké dějinné události. ,Co všechno lidé slyšeli z rozhlasu v letech druhé světové války? Připomeneme si každodennost protektorátu i velké dějinné události. ,63be4f36-b7f1-35fc-b9b1-f2a862f10329,https://portal.rozhlas.cz/sites/default/files/images/c4788c1d0b070737b876c43a5df500b2.jpg,5701,4207,"49,28",,Vojenský historický ústav,,Protektorátní prezident Emil Hácha a nacistický vůdce Adolf Hitler,,2022-04-04T18:00:29+02:00,https://mujrozhlas.croapi.cz/shows/0b522f32-2ec6-3700-b14d-c1f757fb8cec/stations,"[{'type': 'station', 'id': 'c639d927-f37b-3db8-a64f-1d64ee1469b2'}]",https://mujrozhlas.croapi.cz/shows/0b522f32-2ec6-3700-b14d-c1f757fb8cec/serials,[],https://mujrozhlas.croapi.cz/shows/0b522f32-2ec6-3700-b14d-c1f757fb8cec/episodes,105,"[{'type': 'episode', 'id': '04bcac06-8dbe-3ae1-b932-dc170b9ed20f'}, {'type': 'episode', 'id': '06035256-1d1a-3342-b7be-92a6a4543010'}, {'type': 'episode', 'id': '0b1033c7-035d-3869-9882-66e8de4cf30c'}, {'type': 'episode', 'id': '0c2222a3-d131-3656-8e3f-6df29da8351e'}, {'type': 'episode', 'id': '0fade151-439b-309c-a08a-f41eb99b692f'}, {'type': 'episode', 'id': '18401006-aafa-379a-96d3-057a406aa017'}, {'type': 'episode', 'id': '18e1ad0d-b536-37d7-afb8-dffbeb3bb1ad'}, {'type': 'episode', 'id': '1acbaaed-dbaa-3840-9194-cb8f0e9d6fc0'}, {'type': 'episode', 'id': '1f810a87-1ab9-341a-9da9-e138918d9954'}, {'type': 'episode', 'id': '21d623bd-6936-329b-a3ef-3ff8d5bc58d2'}]",https://mujrozhlas.croapi.cz/shows/0b522f32-2ec6-3700-b14d-c1f757fb8cec/participants,"[{'type': 'person', 'id': '1cb35d9d-fb24-37ee-8993-9f74e57ab2c7', 'meta': {'role': 'moderator'}}, {'type': 'person', 'id': '7b9d1544-8aab-3730-8f0a-4d0b463322be', 'meta': {'role': 'moderator'}}, {'type': 'person', 'id': 'c5b35399-08c6-3057-8145-c6aaaac76d4d', 'meta': {'role': 'moderator'}}, {'type': 'person', 'id': 'fcb6babc-e5f6-3b30-b126-583885584454', 'meta': {'role': 'moderator'}}]"
show,c239aa59-bc78-3180-9b58-5c911846630d,show,True,100 statečných,False,False,False,0,False,False,"100 hostů, 52 hodin a dva zkušení moderátoři.","100 hostů, 52 hodin a dva zkušení moderátoři.",105b333f-424f-39e3-a6eb-123297067d44,https://portal.rozhlas.cz/sites/default/files/images/02890481.jpeg,1200,798,"50,5",Filip Jandourek,,,Skleněné studio Českého rozhlasu na Václavském náměstí,,2021-03-20T23:30:09+01:00,https://mujrozhlas.croapi.cz/shows/c239aa59-bc78-3180-9b58-5c911846630d/stations,"[{'type': 'station', 'id': '4082f63f-30e8-375d-a326-b32cf7d86e02'}]",https://mujrozhlas.croapi.cz/shows/c239aa59-bc78-3180-9b58-5c911846630d/serials,[],https://mujrozhlas.croapi.cz/shows/c239aa59-bc78-3180-9b58-5c911846630d/episodes,102,"[{'type': 'episode', 'id': '041646b3-759d-33db-8a48-bcd318244417'}, {'type': 'episode', 'id': '05f667a9-66cf-30b5-ae18-a9db0b8bfd05'}, {'type': 'episode', 'id': '05fecaed-5b3f-357b-a585-a0a8b315a037'}, {'type': 'episode', 'id': '09c6c60f-d69f-3eac-b9b1-135996ffc2e4'}, {'type': 'episode', 'id': '0b033e8e-8456-3b48-9789-cbbfcf44d0f0'}, {'type': 'episode', 'id': '0dbc9b4c-15c7-3182-8e49-a91b73bebd45'}, {'type': 'episode', 'id': '123b1d26-ebdf-3429-9e73-00a1f1eb33dd'}, {'type': 'episode', 'id': '128efc0d-a0be-3f78-8d29-c4f142facbd0'}, {'type': 'episode', 'id': '14039ead-cdac-386d-a1e9-c776a65b6db9'}, {'type': 'episode', 'id': '15281918-b39e-3504-bdc5-75bcd06d1331'}]",https://mujrozhlas.croapi.cz/shows/c239aa59-bc78-3180-9b58-5c911846630d/participants,[]
show,b09c98c7-eebf-36db-992e-3d1fbb43eeaa,show,True,2 x 2,False,False,False,0,False,False,"Petr Šimůnek, šéfredaktor časopisu Forbes, se ptá českých podnikatelů na jejich úspěchy i pády. ","Petr Šimůnek, šéfredaktor časopisu Forbes, se ptá českých podnikatelů na jejich úspěchy i pády. ",0d802435-969f-300b-bf5e-d59a3ab9fed5,https://portal.rozhlas.cz/sites/default/files/images/5d6ebd5c21fc71b94e6905ff9ebc314d.jpg,3003,2002,"60,51",Kateřina Cibulka,Český rozhlas,,Petr Šimůnek,,2023-04-04T09:45:02+02:00,https://mujrozhlas.croapi.cz/shows/b09c98c7-eebf-36db-992e-3d1fbb43eeaa/stations,"[{'type': 'station', 'id': 'c639d927-f37b-3db8-a64f-1d64ee1469b2'}]",https://mujrozhlas.croapi.cz/shows/b09c98c7-eebf-36db-992e-3d1fbb43eeaa/serials,[],https://mujrozhlas.croapi.cz/shows/b09c98c7-eebf-36db-992e-3d1fbb43eeaa/episodes,41,"[{'type': 'episode', 'id': '07a12b99-5ebf-33f1-ac69-3e81674b1f00'}, {'type': 'episode', 'id': '15629ff9-40d4-3488-8ce6-c0329b07abd1'}, {'type': 'episode', 'id': '26252e85-5b5f-38de-bc8e-73015508d5c5'}, {'type': 'episode', 'id': '293bee51-4db6-32c6-a8f5-faf83cbf9107'}, {'type': 'episode', 'id': '2e89ed5d-c29e-3a70-82d3-19e97d6419ce'}, {'type': 'episode', 'id': '2eda0182-2eee-3945-953e-01a726b4f3bf'}, {'type': 'episode', 'id': '3a5cdc71-14e1-3fd2-a8eb-e6c89c7ced21'}, {'type': 'episode', 'id': '454eeff9-1c5d-3f09-8dbc-c16d731bbfdb'}, {'type': 'episode', 'id': '4e02c34c-51af-3b77-9088-6ff897f467f9'}, {'type': 'episode', 'id': '4f6ce97a-954e-3c54-b1ea-0af71edb4fa5'}]",https://mujrozhlas.croapi.cz/shows/b09c98c7-eebf-36db-992e-3d1fbb43eeaa/participants,"[{'type': 'person', 'id': 'faca0491-662d-31b3-86bd-e328471bc0be', 'meta': {'role': 'moderator'}}]"
