,uuid,title,description,station,station_code,show_priority,show_times,since,till
0,3bd5c9f3-0381-3640-8949-dd38896a54c8,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-09 13:06:00+01:00,2023-01-09 14:00:00+01:00
1,d32df8b3-4fa6-32a0-ad44-234a1da524d6,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-09 14:06:00+01:00,2023-01-09 15:00:00+01:00
2,9a6ce84a-d8e5-33c2-8389-1039eb2141af,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-09 15:06:00+01:00,2023-01-09 16:00:00+01:00
3,f8a6d37e-691e-3dca-b7ee-a77e09751cb0,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-09 16:06:00+01:00,2023-01-09 17:00:00+01:00
4,15845f65-c92a-3e75-88e1-5d15c50dfa5e,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-09 17:06:00+01:00,2023-01-09 18:00:00+01:00
5,cf0c9441-514d-3169-a218-134e1ec78716,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-09 18:33:30+01:00,2023-01-09 19:00:00+01:00
6,f4065905-2eb5-3a67-aabf-7724f5255d33,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-09 19:06:00+01:00,2023-01-09 20:00:00+01:00
7,67c9fc78-0def-3fe6-b8f1-93342c48c4a0,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Zuzana Burešová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-10 13:06:00+01:00,2023-01-10 14:00:00+01:00
8,999457ee-5090-3bff-afe4-c05a6cf8cfa8,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Zuzana Burešová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-10 14:06:00+01:00,2023-01-10 15:00:00+01:00
9,a79ba2f1-1f32-3105-95e3-a5a0b8746fb5,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Zuzana Burešová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-01-10 15:06:00+01:00,2023-01-10 16:00:00+01:00
